Designator,Mid X,Mid Y,Layer,Rotation
U1,5.21,3.56,Top,270
U2,10.03,3.56,Top,270
U3,14.86,3.56,Top,270
U4,19.69,3.56,Top,270
U5,24.51,3.56,Top,270
U6,29.34,3.56,Top,270
U7,34.16,3.56,Top,270
U8,38.99,3.56,Top,270
U9,43.82,3.56,Top,270
U10,48.64,3.56,Top,270
